# 医学自定义词典（jieba）
#
# 格式：词语 [词频] [词性]
# 不加这个词典，jieba 会把 "Pilon骨折" 切成 "Pilon / 骨 / 折"，
# BM25 词法通道对专有名词就失效了——而专有名词恰恰是 BM25 存在的理由
# （向量检索对 "Pilon" 这类罕见术语不敏感）。
#
# 词频给一个较高值，避免被 jieba 的默认切分规则拆开。

# ---- 骨折分型系统 ----
AO/OTA 100 n
Garden分型 100 n
Schatzker分型 100 n
Neer分型 100 n
Denis分型 80 n
Seinsheimer分型 80 n
Pauwels分型 80 n
Danis-Weber分型 100 n
Lauge-Hansen分型 100 n
Gustilo-Anderson分型 100 n
Tscherne分型 60 n
Russell-Taylor分型 60 n
Mason分型 80 n
Mayo分型 60 n
Salter-Harris分型 80 n
Evans分型 60 n
Sanders分型 60 n
Weber分型 80 n
Fernandez分型 60 n
Müller分型 60 n

# ---- 骨折类型 ----
Pilon骨折 100 n
Hoffa骨折 100 n
Jefferson骨折 80 n
Bennett骨折 80 n
Rolando骨折 60 n
Smith骨折 80 n
Colles骨折 100 n
Barton骨折 80 n
Galeazzi骨折 80 n
Monteggia骨折 80 n
Jones骨折 60 n
Lisfranc损伤 80 n
Chance骨折 60 n
Hangman骨折 60 n
Bosworth骨折 40 n
Segond骨折 40 n
Maisonneuve骨折 60 n
Tillaux骨折 40 n
Dupuytren骨折 40 n
Wagstaffe骨折 40 n
Cotton骨折 40 n

# ---- 解剖部位 ----
股骨颈 100 n
股骨远端 100 n
股骨近端 100 n
股骨干 100 n
股骨髁 100 n
股骨髁上 100 n
胫骨平台 100 n
胫骨远端 100 n
胫骨干 80 n
胫骨结节 80 n
胫骨髁间嵴 60 n
腓骨 100 n
肱骨近端 100 n
肱骨远端 100 n
肱骨干 80 n
肱骨大结节 80 n
肱骨小结节 60 n
桡骨远端 100 n
桡骨头 80 n
尺骨鹰嘴 80 n
尺桡骨 80 n
距骨 80 n
跟骨 100 n
舟骨 80 n
月骨 60 n
掌骨 80 n
跖骨 80 n
骨盆环 60 n
髋臼 80 n
肩胛骨 60 n
锁骨 80 n
髌骨 80 n

# ---- 临床术语 ----
骨筋膜室综合征 100 n
深静脉血栓 100 n
肺栓塞 100 n
脂肪栓塞 80 n
创伤性关节炎 100 n
缺血性坏死 100 n
骨折不愈合 100 n
骨折延迟愈合 80 n
畸形愈合 80 n
内固定 100 n
外固定 100 n
髓内钉 100 n
锁定钢板 100 n
拉力螺钉 80 n
植骨 80 n
骨替代物 60 n
关节置换 100 n
关节镜 80 n
切开复位 100 n
闭合复位 100 n
解剖复位 100 n
功能复位 80 n
克氏针 80 n
钢丝张力带 60 n
下胫腓联合 100 n
三角韧带 80 n
肩袖 100 n
半月板 100 n
交叉韧带 100 n
侧副韧带 80 n
骨骺 80 n
骨小梁 80 n
骨皮质 80 n
干骺端 100 n
关节面 100 n
关节内骨折 100 n
关节外骨折 100 n
粉碎性骨折 100 n
开放性骨折 100 n
闭合性骨折 100 n
病理性骨折 100 n
应力性骨折 80 n
撕脱性骨折 80 n
压缩性骨折 100 n
青枝骨折 80 n
隐匿性骨折 60 n
多发伤 80 n
骨密度 100 n
骨质疏松 100 n
脆性骨折 100 n
骨转移 60 n
骨水泥 80 n

# ---- 康复 ----
等长收缩 80 n
踝泵 100 n
本体感觉 80 n
关节活动度 100 n
肌力训练 80 n
被动活动 80 n
主动辅助活动 60 n
负重 100 n
部分负重 100 n
完全负重 100 n
功能性训练 60 n
步态训练 80 n
助行器 80 n
梯度压力袜 60 n
间歇充气加压 60 n
呼吸训练 60 n
关节僵硬 100 n
肌肉萎缩 80 n
肌少症 80 n

# ---- 药物 ----
双膦酸盐 100 n
阿仑膦酸钠 100 n
唑来膦酸 100 n
利塞膦酸 80 n
伊班膦酸 80 n
地舒单抗 100 n
特立帕肽 100 n
雷洛昔芬 80 n
降钙素 80 n
维生素D 100 n
碳酸钙 80 n
枸橼酸钙 60 n
骨化三醇 80 n
抗骨质疏松 80 n
抗凝 100 n
低分子肝素 100 n
利伐沙班 100 n
华法林 80 n
抗生素 100 n
破伤风 80 n
镇痛 80 n
非甾体抗炎药 80 n
