epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3827,2.40929,5.47579,2.18901,0.73657,0.07535,0.00721,0.0024,2.71013,4.50912,2.33652,0.000221063,0.000221063,0.000221063
2,52.424,2.39376,4.97144,2.06272,0.48089,0.0653,0.02071,0.00517,2.56759,3.97403,2.42133,0.000439007,0.000439007,0.000439007
3,78.9241,2.40842,4.56754,2.09785,0.52362,0.06961,0.04434,0.01838,2.51015,3.60426,2.38219,0.000652548,0.000652548,0.000652548
4,107.836,2.39746,4.32025,2.14333,0.46508,0.09318,0.05079,0.01937,2.53321,3.53912,2.31782,0.00064719,0.00064719,0.00064719
5,137.673,2.3621,3.96794,2.07382,0.43317,0.1376,0.07252,0.03353,2.41484,3.53205,2.22644,0.000640587,0.000640587,0.000640587
6,167.445,2.34153,3.81608,2.05837,0.27101,0.12844,0.08048,0.03469,2.36067,3.2639,2.16539,0.000633983,0.000633983,0.000633983
7,194.215,2.26296,3.64585,2.01051,0.64559,0.10305,0.11851,0.06329,2.38518,3.2884,2.10494,0.00062738,0.00062738,0.00062738
8,220.82,2.272,3.54508,2.01124,0.30152,0.14225,0.11368,0.04432,2.35607,3.14394,2.19862,0.000620777,0.000620777,0.000620777
9,246.434,2.2134,3.40324,1.99348,0.4103,0.17421,0.13955,0.07714,2.28419,3.05426,2.1544,0.000614174,0.000614174,0.000614174
10,272.823,2.17772,3.31721,1.98173,0.42746,0.16977,0.14091,0.06515,2.29267,2.92798,2.15971,0.00060757,0.00060757,0.00060757
11,298.661,2.15986,3.2403,1.96041,0.48288,0.1642,0.16652,0.08375,2.22033,2.86345,2.08439,0.000600967,0.000600967,0.000600967
12,323.804,2.11939,3.12885,1.94723,0.38667,0.19888,0.15163,0.07194,2.25868,2.88965,2.10969,0.000594364,0.000594364,0.000594364
13,364.059,2.11875,3.12294,1.91421,0.27779,0.20506,0.17371,0.07816,2.26767,2.80907,2.10864,0.00058776,0.00058776,0.00058776
14,396.804,2.09041,2.96148,1.89703,0.37009,0.18787,0.17452,0.0901,2.2147,2.85026,2.08361,0.000581157,0.000581157,0.000581157
15,428.537,2.06761,2.88008,1.88287,0.42275,0.21665,0.20945,0.10201,2.16311,2.59576,2.04927,0.000574554,0.000574554,0.000574554
16,454.914,2.09276,2.88927,1.91656,0.40538,0.21712,0.19339,0.09697,2.17801,2.63372,2.08662,0.00056795,0.00056795,0.00056795
17,484.148,2.07476,2.81458,1.90541,0.35079,0.23578,0.19342,0.1066,2.20355,2.70658,2.08083,0.000561347,0.000561347,0.000561347
18,512.761,2.05653,2.68554,1.87419,0.4336,0.20907,0.21116,0.10989,2.18872,2.63148,2.12092,0.000554744,0.000554744,0.000554744
19,542.097,2.02576,2.6779,1.88636,0.51078,0.23456,0.23789,0.12303,2.16706,2.47535,2.08472,0.000548141,0.000548141,0.000548141
20,568.731,2.0018,2.58817,1.84449,0.42858,0.25342,0.22012,0.09704,2.23356,2.55251,2.1015,0.000541537,0.000541537,0.000541537
21,596.161,1.99202,2.59031,1.86052,0.41885,0.26123,0.24967,0.11986,2.17013,2.41138,2.03151,0.000534934,0.000534934,0.000534934
22,624.186,1.98697,2.49601,1.82527,0.30017,0.29239,0.26584,0.12901,2.12105,2.35497,2.06543,0.000528331,0.000528331,0.000528331
23,651.273,2.01214,2.54247,1.85972,0.46667,0.27718,0.25298,0.11929,2.15279,2.3759,2.02222,0.000521727,0.000521727,0.000521727
24,685.577,1.92798,2.40228,1.80105,0.39395,0.30343,0.28051,0.13091,2.13543,2.28772,2.01057,0.000515124,0.000515124,0.000515124
25,715.107,1.96386,2.43094,1.81536,0.51901,0.28859,0.29428,0.1355,2.12624,2.24299,2.0492,0.000508521,0.000508521,0.000508521
26,741.378,1.95453,2.34287,1.79036,0.52287,0.2798,0.29118,0.13721,2.18864,2.27656,2.06881,0.000501917,0.000501917,0.000501917
27,766.308,1.94637,2.36803,1.81768,0.49658,0.32137,0.31323,0.13374,2.13204,2.26076,2.03176,0.000495314,0.000495314,0.000495314
