epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.2386,2.43256,5.46606,2.22184,0.79444,0.03402,0.04231,0.02611,2.49968,3.92879,2.22502,0.000221063,0.000221063,0.000221063
2,42.8358,2.30694,4.79003,2.02068,0.96195,0.05372,0.06894,0.03933,2.38806,3.80671,2.18587,0.000439007,0.000439007,0.000439007
3,69.1556,2.3084,4.39543,2.02663,0.34702,0.15224,0.03419,0.01265,2.49448,4.38917,2.30793,0.000652548,0.000652548,0.000652548
4,90.9477,2.31807,4.17201,2.07081,0.62506,0.10609,0.08279,0.04261,2.39727,3.82604,2.18973,0.00064719,0.00064719,0.00064719
5,110.367,2.25984,3.77697,1.98328,0.3491,0.12402,0.07946,0.03403,2.28521,3.40377,2.1846,0.000640587,0.000640587,0.000640587
6,131.268,2.2563,3.6336,1.97313,0.48292,0.12718,0.11959,0.05974,2.33693,3.29675,2.126,0.000633983,0.000633983,0.000633983
7,152.23,2.17271,3.4759,1.95829,0.37611,0.16191,0.15631,0.08414,2.24496,3.07498,2.18725,0.00062738,0.00062738,0.00062738
8,173.869,2.19213,3.38231,1.95589,0.41512,0.17861,0.15104,0.08996,2.24942,2.97299,2.08509,0.000620777,0.000620777,0.000620777
9,195.131,2.15494,3.25075,1.93423,0.44949,0.19858,0.17979,0.09559,2.20746,2.78087,2.10623,0.000614174,0.000614174,0.000614174
10,217.948,2.08681,3.14937,1.92304,0.52352,0.18488,0.17776,0.08786,2.16896,3.01406,2.02639,0.00060757,0.00060757,0.00060757
11,240.232,2.06611,3.00596,1.89059,0.44074,0.22144,0.19713,0.10799,2.16856,2.68519,2.09376,0.000600967,0.000600967,0.000600967
12,262.107,2.03293,2.90489,1.87845,0.44893,0.21632,0.19631,0.10558,2.21075,2.75942,2.10324,0.000594364,0.000594364,0.000594364
13,283.612,2.06172,2.92028,1.86398,0.40551,0.23028,0.2053,0.1026,2.18979,2.67851,2.04651,0.00058776,0.00058776,0.00058776
14,303.596,1.99392,2.7694,1.82878,0.49797,0.2302,0.24045,0.12376,2.16287,2.6334,2.03501,0.000581157,0.000581157,0.000581157
