epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.11293,1.33787,1.11042,1.41074,0.74723,0.66387,0.87108,0.47491,1.98221,1.24638,2.03455,6.67e-06,6.67e-06,6.67e-06
2,8.10448,1.25778,1.13589,1.44438,0.74424,0.667,0.87103,0.47615,1.95546,1.24293,2.02005,1.98119e-05,1.98119e-05,1.98119e-05
3,8.88906,1.37615,1.00061,1.47804,0.73994,0.6714,0.87323,0.47624,1.92528,1.22844,1.99413,3.26897e-05,3.26897e-05,3.26897e-05
4,9.67305,1.16197,1.08042,1.37301,0.721,0.67148,0.87339,0.48119,1.92612,1.23311,1.97191,4.53033e-05,4.53033e-05,4.53033e-05
5,10.4429,1.37491,1.11819,1.41698,0.72106,0.67572,0.80244,0.46118,1.96412,1.26779,2.00209,5.76528e-05,5.76528e-05,5.76528e-05
6,11.2327,1.19117,0.91187,1.26638,0.70896,0.68068,0.87108,0.44499,2.00676,1.29592,2.01926,6.97382e-05,6.97382e-05,6.97382e-05
7,12.0362,1.1676,1.05776,1.22487,0.7046,0.68402,0.87107,0.4353,2.09701,1.31759,2.09605,8.15594e-05,8.15594e-05,8.15594e-05
8,12.8165,1.0437,0.92879,1.25518,0.62871,0.76358,0.78229,0.39057,2.07424,1.28437,2.083,9.31165e-05,9.31165e-05,9.31165e-05
9,13.566,0.87752,0.771,1.14348,0.62393,0.76821,0.78238,0.39057,2.0683,1.26757,2.07549,0.00010441,0.00010441,0.00010441
10,14.3057,1.07477,1.14318,1.33454,0.59676,0.70713,0.7801,0.39925,2.0839,1.27264,2.07952,0.000115438,0.000115438,0.000115438
11,15.0705,1.01118,0.89619,1.22342,0.63001,0.75835,0.69137,0.38386,2.11596,1.22481,2.13203,0.000126203,0.000126203,0.000126203
12,15.8356,0.92864,0.91776,1.23411,0.63087,0.75706,0.7114,0.38522,2.12679,1.22787,2.13825,0.000136704,0.000136704,0.000136704
13,16.5948,1.07845,1.00052,1.27939,0.65638,0.64286,0.77646,0.37714,2.15551,1.23557,2.16672,0.00014694,0.00014694,0.00014694
14,17.381,0.89536,0.74566,1.21725,0.65486,0.64286,0.84752,0.38894,2.16282,1.23816,2.17268,0.000156912,0.000156912,0.000156912
15,18.1856,1.12112,0.90578,1.32651,0.65132,0.64286,0.84161,0.3906,2.18862,1.25136,2.20596,0.000166621,0.000166621,0.000166621
16,19.0356,0.91692,0.72908,1.1653,0.64643,0.64286,0.8445,0.3879,2.18383,1.2275,2.20817,0.000176065,0.000176065,0.000176065
17,19.8609,0.99573,0.71742,1.20316,0.54705,0.67426,0.67414,0.34312,2.26896,1.25428,2.2757,0.000185245,0.000185245,0.000185245
18,20.7061,1.22871,1.08431,1.33357,0.78871,0.49877,0.6064,0.33474,2.34911,1.25646,2.36974,0.00019416,0.00019416,0.00019416
19,21.5161,0.94165,0.83014,1.22487,0.79118,0.49681,0.62535,0.34997,2.35063,1.26962,2.34607,0.000202812,0.000202812,0.000202812
20,22.3194,0.97329,0.88253,1.15669,0.57626,0.71429,0.66745,0.35595,2.34888,1.27332,2.32811,0.0002112,0.0002112,0.0002112
21,23.1023,0.90205,0.75714,1.18184,0.56072,0.69336,0.65482,0.35648,2.32999,1.30179,2.31945,0.000219323,0.000219323,0.000219323
22,23.8549,0.98871,0.81343,1.14588,0.62188,0.69694,0.72614,0.37781,2.29302,1.32999,2.30697,0.000227182,0.000227182,0.000227182
23,24.6514,0.96619,0.83876,1.14307,0.63038,0.66768,0.73723,0.40631,2.18701,1.38046,2.23815,0.000234777,0.000234777,0.000234777
24,25.4311,1.03129,0.81513,1.13795,0.66885,0.64286,0.75798,0.40129,2.12324,1.37619,2.18792,0.000242108,0.000242108,0.000242108
25,26.2053,0.99275,0.84958,1.23592,0.70647,0.63036,0.75798,0.41851,2.04786,1.39456,2.1097,0.000249175,0.000249175,0.000249175
26,26.9428,1.02602,0.78615,1.23349,0.72547,0.62358,0.74607,0.41585,2.04154,1.37477,2.08606,0.000255978,0.000255978,0.000255978
27,27.6962,0.79546,0.60669,1.12363,0.73707,0.62752,0.72238,0.41803,2.00186,1.33196,2.05392,0.000262517,0.000262517,0.000262517
28,28.4554,1.03385,0.83756,1.23163,0.73707,0.62752,0.72238,0.41803,2.00186,1.33196,2.05392,0.000268791,0.000268791,0.000268791
29,29.2372,0.91203,0.80781,1.23604,0.72774,0.64054,0.72238,0.39614,1.96699,1.28406,2.03428,0.000274801,0.000274801,0.000274801
30,29.9843,0.96527,0.73778,1.19765,0.69566,0.64286,0.74607,0.4097,1.9821,1.27688,2.04464,0.000280548,0.000280548,0.000280548
31,30.709,0.88976,0.83492,1.1635,0.69566,0.64286,0.74607,0.4097,1.9821,1.27688,2.04464,0.00028603,0.00028603,0.00028603
32,31.4969,0.84915,0.80171,1.16398,0.67378,0.64286,0.73893,0.4123,2.06,1.32272,2.1034,0.000291248,0.000291248,0.000291248
33,32.2841,0.90836,0.76514,1.22483,0.65199,0.64286,0.73893,0.42035,2.07244,1.35769,2.11273,0.000296201,0.000296201,0.000296201
34,33.0313,0.886,0.76781,1.11292,0.65199,0.64286,0.73893,0.42035,2.07244,1.35769,2.11273,0.000300891,0.000300891,0.000300891
35,33.7942,0.86575,0.76845,1.10728,0.63093,0.64286,0.73417,0.4132,2.06479,1.3739,2.09847,0.000305317,0.000305317,0.000305317
36,34.5463,0.88449,0.77172,1.12392,0.67825,0.64286,0.73417,0.41979,2.06962,1.36866,2.11181,0.000309478,0.000309478,0.000309478
37,35.2993,0.92478,0.74194,1.10624,0.67825,0.64286,0.73417,0.41979,2.06962,1.36866,2.11181,0.000313375,0.000313375,0.000313375
38,36.0599,0.91626,0.73956,1.1318,0.86165,0.64194,0.73893,0.41202,2.14639,1.39489,2.18875,0.000317008,0.000317008,0.000317008
39,36.8539,0.86367,0.70211,1.09725,0.88974,0.62793,0.81714,0.42559,2.1516,1.37211,2.22,0.000320377,0.000320377,0.000320377
