epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.2974,1.46148,1.17999,1.51865,0.72325,0.82146,0.90024,0.49481,1.64212,1.4398,1.94844,6.67e-06,6.67e-06,6.67e-06
2,45.5223,1.32087,1.01365,1.46916,0.72791,0.82092,0.90024,0.48276,1.65871,1.38944,1.95304,1.98119e-05,1.98119e-05,1.98119e-05
3,47.5594,1.25925,1.04912,1.42613,0.73385,0.82019,0.90024,0.48271,1.6784,1.4223,1.95723,3.26897e-05,3.26897e-05,3.26897e-05
4,49.5155,1.11457,1.16483,1.31955,0.73406,0.81977,0.89347,0.46162,1.73604,1.3821,2.01435,4.53033e-05,4.53033e-05,4.53033e-05
5,50.9902,1.37931,1.24985,1.43585,0.72448,0.82165,0.88444,0.44665,1.80091,1.3135,2.07085,5.76528e-05,5.76528e-05,5.76528e-05
6,53.5664,1.20562,1.01155,1.29255,0.72259,0.82121,0.87655,0.42892,1.79299,1.23262,2.0543,6.97382e-05,6.97382e-05,6.97382e-05
7,55.6375,1.17851,1.05303,1.26162,0.73422,0.81772,0.86643,0.41971,1.89187,1.22534,2.09406,8.15594e-05,8.15594e-05,8.15594e-05
8,57.1134,1.18707,0.92193,1.37201,0.7361,0.8146,0.88214,0.41755,1.92441,1.2846,2.102,9.31165e-05,9.31165e-05,9.31165e-05
9,58.5404,0.85283,0.72971,1.18078,0.74394,0.81206,0.88264,0.42209,1.9393,1.30535,2.11176,0.00010441,0.00010441,0.00010441
10,59.8595,1.05492,1.14338,1.34535,0.74823,0.81031,0.86578,0.42081,1.92289,1.33929,2.1031,0.000115438,0.000115438,0.000115438
11,61.1818,1.00545,0.84021,1.26284,0.75572,0.8086,0.85989,0.43548,1.8965,1.34669,2.08016,0.000126203,0.000126203,0.000126203
12,62.5286,0.9798,0.89003,1.27534,0.76397,0.80666,0.86054,0.44454,1.83471,1.37772,1.99657,0.000136704,0.000136704,0.000136704
13,63.9479,0.9756,0.96255,1.24401,0.76602,0.80615,0.86114,0.43289,1.82544,1.3893,1.98171,0.00014694,0.00014694,0.00014694
14,65.2842,0.94328,0.72536,1.23445,0.77997,0.80787,0.8611,0.44575,1.84555,1.42137,2.00544,0.000156912,0.000156912,0.000156912
15,66.6108,1.0451,0.78966,1.29183,0.77283,0.80968,0.88129,0.44893,1.84415,1.39637,1.99647,0.000166621,0.000166621,0.000166621
16,68.0046,0.96308,0.73543,1.20358,0.7994,0.84858,0.88935,0.4597,1.81809,1.30123,1.95862,0.000176065,0.000176065,0.000176065
17,69.2956,0.92533,0.69635,1.16464,0.79622,0.85931,0.88932,0.44131,1.81844,1.22577,1.93902,0.000185245,0.000185245,0.000185245
